date,US
4/6/2014,20.82571395
4/7/2014,20.51747224
4/8/2014,20.18158064
4/9/2014,19.57436956
4/10/2014,19.75790411
4/11/2014,20.15149397
4/12/2014,20.39687796
4/13/2014,20.59813453
4/14/2014,21.08700682
4/15/2014,20.95360014
4/16/2014,20.9381166
4/17/2014,20.81681433
4/18/2014,20.6334002
4/19/2014,20.33550973
4/20/2014,20.411706
4/21/2014,20.58278818
4/22/2014,19.95900162
4/23/2014,20.23553421
4/24/2014,20.16076215
4/25/2014,20.00631613
4/26/2014,19.83852199
4/27/2014,19.54148483
4/28/2014,19.33122008
4/29/2014,19.1269103
4/30/2014,19.09400886
5/1/2014,18.70466893
5/2/2014,18.30899738
5/3/2014,18.02086571
5/4/2014,18.17558169
5/5/2014,18.50373603
5/6/2014,18.56521369
5/7/2014,18.30673764
5/8/2014,17.93324087
5/9/2014,17.43593383
5/10/2014,17.23341254
5/11/2014,17.28845526
5/12/2014,17.20748654
5/13/2014,16.61577586
5/14/2014,16.5928492
5/15/2014,16.12596695
5/16/2014,16.12843205
5/17/2014,16.26066214
5/18/2014,15.89570547
5/19/2014,16.07665578
5/20/2014,16.11397238
5/21/2014,16.8412741
5/22/2014,16.98805487
5/23/2014,16.84767026
5/24/2014,16.49484669
5/25/2014,15.83732863
5/26/2014,15.79781167
5/27/2014,16.69089154
5/28/2014,16.54589432
5/29/2014,16.40854669
5/30/2014,15.92677785
5/31/2014,14.93038904
6/1/2014,14.45014561
6/2/2014,14.68490553
6/3/2014,12.94372847
6/4/2014,12.91183806
6/5/2014,12.96093333
6/6/2014,12.29648204
6/7/2014,14.05471419
6/15/2014,14.82358469
6/16/2014,15.0749059
6/17/2014,14.98558267
6/18/2014,14.65721954
6/19/2014,14.23300203
6/20/2014,13.76404093
6/21/2014,13.44669771
6/22/2014,12.77658539
6/23/2014,13.59866163
6/24/2014,13.98076435
6/25/2014,14.15167431
6/26/2014,14.62744662
6/27/2014,14.35081359
6/28/2014,14.20424958
7/13/2014,13.65240287
7/14/2014,12.8579564
7/15/2014,12.72495128
7/16/2014,12.86567853
7/17/2014,13.35754228
7/18/2014,13.4413234
7/19/2014,13.1130928
7/20/2014,12.75538566
7/21/2014,12.61377197
7/22/2014,12.03626933
7/23/2014,12.34492088
7/24/2014,12.56987294
7/25/2014,12.11902158
7/26/2014,12.16148504
8/3/2014,12.23594064
8/4/2014,12.06213604
8/5/2014,12.49654482
8/6/2014,12.84707726
8/7/2014,12.98887274
8/8/2014,12.80923408
8/9/2014,12.45317481
8/10/2014,12.14759735
8/11/2014,12.11835258
8/12/2014,12.36644169
8/13/2014,12.82611179
8/14/2014,13.39840968
8/15/2014,13.16709674
8/16/2014,12.32466283
8/17/2014,12.1269887
8/18/2014,12.22273679
8/19/2014,12.61178727
8/20/2014,13.38847739
8/21/2014,13.26246766
8/22/2014,12.98267517
8/23/2014,12.24117063
8/24/2014,11.52254252
8/25/2014,11.85473287
8/26/2014,12.2669823
8/27/2014,12.74770696
8/28/2014,13.52525291
8/29/2014,13.78520542
8/30/2014,13.90882594
8/31/2014,13.85454968
9/1/2014,13.48434856
9/2/2014,14.33857393
9/3/2014,14.4886556
